Cód. Item;Descrição;Espessura(mm);Largura(mm);Grupo de Item
53;FOLHA ALUM BOB 8006 O SGALSOPLN ESP0,010 LARG300 DI76,2 DEMÁX450 ACABBRILHANTE/FOSCO LAHHF;10;300;HHF 10
54;FOLHA ALUM BOB 8006 O SGALSOPLN ESP0,010 LARG450 DI76,2 DEMÁX450 ACABBRILHANTE/FOSCO LAHHF;10;450;HHF 10
55;FOLHA ALUM BOB 8006 O SGALSOPLN ESP0,0105 LARG300 DI76,2 DEMÁX450 ACABBRILHANTE/FOSCO LAHHF;10,5;300;HHF 10,5
56;FOLHA ALUM BOB 8006 O SGALSOPLN ESP0,0105 LARG450 DI76,2 DEMÁX450 ACABBRILHANTE/FOSCO LAHHF;10,5;450;HHF 10,5
57;FOLHA ALUM BOB 8006 O SGALSOTXT ESP0,048 LARG205 DI152 DEMÁX700 ACABBRILHANTE/BRILHANT LAFCN;48;205;FOODCONTAINER 40-55
58;FOLHA ALUM BOB 8006 O SGALSOTXT ESP0,048 LARG335 DI152 DEMÁX700 ACABBRILHANTE/BRILHANT LAFCN;48;335;FOODCONTAINER 40-55
59;FOLHA ALUM BOB 8006 O SGALSOTXT ESP0,048 LARG364 DI152 DEMÁX700 ACABBRILHANTE/BRILHANT LAFCN;48;364;FOODCONTAINER 40-55
60;FOLHA ALUM BOB 8006 O SGALSOTXT ESP0,050 LARG220 DI152 DEMÁX700 ACABBRILHANTE/BRILHANT LAFCN;50;220;FOODCONTAINER 40-55
61;FOLHA ALUM BOB 8006 O SGALSOTXT ESP0,050 LARG265 DI152 DEMÁX700 ACABBRILHANTE/BRILHANT LAFCN;50;265;FOODCONTAINER 40-55
62;FOLHA ALUM BOB 8006 O SGALSOTXT ESP0,050 LARG335 DI152 DEMÁX700 ACABBRILHANTE/BRILHANT LAFCN;50;335;FOODCONTAINER 40-55
63;FOLHA ALUM BOB 8011 H18 SGALSOPLN ESP0,020 LARG480 DI152 DEMÁX540 ACABBRILHANTE/FOSCO LACVT;20;480;CONVERTER 20-25
64;FOLHA ALUM BOB 8011 H18 SGALSOPLN ESP0,020 LARG525 DI152 DEMÁX540 ACABBRILHANTE/FOSCO LACVT;20;525;CONVERTER 20-25
65;FOLHA ALUM BOB 8011 H18 SGALSOPLN ESP0,025 LARG450 DI152 DEMÁX540 ACABBRILHANTE/FOSCO LACVT;25;450;INATIVOS CONVERTER25
66;FOLHA ALUM BOB 8011 H18 SGALSOPLN ESP0,025 LARG480 DI152 DEMÁX540 ACABBRILHANTE/FOSCO LACVT;25;480;INATIVOS CONVERTER25
67;FOLHA ALUM BOB 8011 H18 SGALSOPLN ESP0,025 LARG500 DI152 DEMÁX540 ACABBRILHANTE/FOSCO LACVT;25;500;INATIVOS CONVERTER25
68;FOLHA ALUM BOB 8011 H18 SGALSOPLN ESP0,025 LARG525 DI152 DEMÁX540 ACABBRILHANTE/FOSCO LACVT;25;525;INATIVOS CONVERTER25
69;FOLHA ALUM BOB 8011 H18 SGALSOPLN ESP0,025 LARG580 DI152 DEMÁX540 ACABBRILHANTE/FOSCO LACVT;25;580;INATIVOS CONVERTER25
70;FOLHA ALUM BOB 8011 O SGALSOPLN ESP0,009 LARG300 DI76,2 DEMÁX450 ACABBRILHANTE/FOSCO LAHHF;9;300;HHF 9
71;FOLHA ALUM BOB 8011 O SGALSOPLN ESP0,009 LARG450 DI76,2 DEMÁX450 ACABBRILHANTE/FOSCO LAHHF;9;450;HHF 9
