Cód. Item;Descrição;Espessura(mm);Largura(mm);Grupo de Item
307;ALUMINIO-FOLHA  BOB- 3003 H24 ESP0,028 LARG889 DI152 DEMÁX700 BRI/BRI FOODCONTAINER 28;28;889;FOODCONTAINER 28
308;FOLHA ALUM BOB 1235 O SGALSOPLN ESP0,008 LARG600 DI152 DEMÁX540 ACABBRILHANTE/FOSCO LACVT;8;600;INATIVOS CONVERTER 8
309;FOLHA ALUM BOB 1235 O SGALSOPLN ESP0,008 LARG655 DI152 DEMÁX540 ACABBRILHANTE/FOSCO LACVT;8;655;INATIVOS CONVERTER 8
310;FOLHA ALUM BOB 1235 O SGALSOPLN ESP0,008 LARG565 DI152 DEMÁX540 ACABBRILHANTE/FOSCO LACVT;8;565;INATIVOS CONVERTER 8
311;FOLHA ALUM BOB 8011 H18 SGALSOPLN ESP0,018 LARG215 DI76,2 DEMÁX450 ACABBRILHANTE/FOSCO LATMP;18;215;LIDROUNDPLATES 18
312;FOLHA ALUM BOB 8079 O SGALSOPLN ESP0,008 LARG300 DI76,2 DEMÁX450 ACABBRILHANTE/FOSCO LACVT;8;300;INATIVOS CONVERTER 8
313;ALUMINIO-FOLHA BOB-3003H24 ESP0,048 LARG780 DI152 DEMÁX700 BRI/BRI FOODCONTAINER 40-55;48;780;FOODCONTAINER 40-55
314;ALUMINIO-FOLHA  BOB- 3003 H24 ESP0,028 LARG508 DI76,2 DEMÁX450 BRI/BRI FOODCONTAINER 28;28;508;FOODCONTAINER 28
315;FOLHA ALUM BOB 8011 H18 SGALSOPLN ESP0,018 LARG392 DI76,2 DEMÁX450 ACABBRILHANTE/FOSCO LATMP;18;392;LIDROUNDPLATES 18
316;ALUMINIO-FOLHA  BOB- 3003 H24 ESP0,028 LARG450 DI76,2 DEMÁX450 BRI/BRI FOODCONTAINER 28;28;450;FOODCONTAINER 28
317;FOLHA ALUM BOB 8011 H18 SGALSOPLN ESP0,028 LARG485 DI76,2 DEMÁX450 ACABBRILHANTE/BRILHANT LATMP;28;485;LIDROUNDPLATES 28
318;ALUMINIO-FOLHA  BOB- 3003 H24 ESP0,028 LARG530 DI76,2 DEMÁX450 BRI/BRI FOODCONTAINER 28;28;530;FOODCONTAINER 28
319;FOLHA ALUM BOB 8079 O SGALSOPLN ESP0,008 LARG655 DI152 DEMÁX540 ACABBRILHANTE/FOSCO LACVT;8;655;INATIVOS CONVERTER 8
320;FOLHA ALUM BOB 8079 O SGALSOPLN ESP0,008 LARG565 DI152 DEMÁX540 ACABBRILHANTE/FOSCO LACVT;8;565;INATIVOS CONVERTER 8
321;FOLHA ALUM BOB 8079 O SGALSOPLN ESP0,008 LARG440 DI152 DEMÁX540 ACABBRILHANTE/FOSCO LACVT;8;440;INATIVOS CONVERTER 8
322;FOLHA ALUM BOB 8079 O SGALSOPLN ESP0,008 LARG470 DI152 DEMÁX540 ACABBRILHANTE/FOSCO LACVT;8;470;INATIVOS CONVERTER 8
323;FOLHA ALUM BOB 8079 O SGALSOPLN ESP0,008 LARG520 DI152 DEMÁX540 ACABBRILHANTE/FOSCO LACVT;8;520;INATIVOS CONVERTER 8
324;FOLHA ALUM BOB 8079 O SGALSOPLN ESP0,008 LARG540 DI152 DEMÁX540 ACABBRILHANTE/FOSCO LACVT;8;540;INATIVOS CONVERTER 8
325;FOLHA ALUM BOB 8011 O SGALSOPLN ESP0,038 LARG1030 DI76,2 DEMÁX200 ACABBRILHANTE/FOSCO LACVT;38;1030;CONVERTER 30-40
326;ALUMINIO-FOLHA  BOB- 3003 H24 ESP0,028 LARG244 DI76,2 DEMÁX450 BRI/BRI FOODCONTAINER 28;28;244;FOODCONTAINER 28
327;ALUMINIO-FOLHA  BOB- 3003 H24 ESP0,028 LARG264 DI76,2 DEMÁX450 BRI/BRI FOODCONTAINER 28;28;264;FOODCONTAINER 28
328;ALUMINIO-FOLHA  BOB- 3003 H24 ESP0,028 LARG486 DI76,2 DEMÁX450 BRI/BRI FOODCONTAINER 28;28;486;FOODCONTAINER 28
329;ALUMINIO-FOLHA  BOB- 3003 H24 ESP0,028 LARG523 DI76,2 DEMÁX450 BRI/BRI FOODCONTAINER 28;28;523;FOODCONTAINER 28
330;ALUMINIO-FOLHA  BOB- 3003 H24 ESP0,028 LARG835 DI76,2 DEMÁX450 BRI/BRI FOODCONTAINER 28;28;835;FOODCONTAINER 28
331;ALUMINIO-FOLHA  BOB- 3003 H24 ESP0,028 LARG710 DI76,2 DEMÁX450 BRI/BRI FOODCONTAINER 28;28;710;FOODCONTAINER 28
332;CHAPA ALUM FOR 5083 O CFPPNLCHLS ESP9,53 LARG1500 COMP3000 - FOSCO/FOSCOLATRP;9530;1500;TRANSPORTATION >0,2
333;CHAPA ALUM FOR 3003 H114 SGALAVDMD ESP2,2 LARG1500 COMP3000 - BRILHANTE/FOSCO LATRP;2200;1500;TRANSPORTATION >0,2
334;ALUMINIO-FOLHA  BOB- 3003 H24 ESP0,030 LARG245 DI76,2 DEMÁX450 BRI/BRI FOODCONTAINER 30;30;245;FOODCONTAINER 30
335;ALUMINIO-FOLHA BOB 8011 H18 ESP0,020 LARG210 DI76,2 DEMÁX450 BRI/FOS LIDROUNDPLATES 20;20;210;LIDROUNDPLATES 20
336;FOLHA ALUM BOB 8011 O SGALSOPLN ESP0,009 LARG300 DI152,4 DEMÁX700 ACABBRILHANTE/FOSCO LAHHF;9;300;HHF 9
337;ALUMINIO-FOLHA  BOB- 3003 H24 ESP0,030 LARG315 DI76,2 DEMÁX450 BRI/BRI FOODCONTAINER 30;30;315;FOODCONTAINER 30
338;ALUMINIO-FOLHA BOB 8011 H18 ESP0,020 LARG392 DI76,2 DEMÁX450 BRI/FOS LIDROUNDPLATES 20;20;392;LIDROUNDPLATES 20
339;ALUMINIO-FOLHA  BOB- 3003 H24 ESP0,030 LARG485 DI76,2 DEMÁX450 BRI/BRI FOODCONTAINER 30;30;485;FOODCONTAINER 30
340;CHAPA ALUM BOB 3003 H16 LSOEXTLG ESP0,711 LARG2590,8 DI508 DEMÁX760 ACABFOSCO/FOSCO LATRP;711;2590,8;TRANSPORTATION >0,2
341;FOLHA ALUM BOB 1235 O SGALSOPLN ESP0,008 LARG410 DI152 DEMÁX700 ACABBRILHANTE/FOSCO LACVT;8;410;INATIVOS CONVERTER 8
342;FOLHA ALUM BOB 8011 O SGALSOPLN ESP0,009 LARG450 DI152 DEMÁX700 ACABBRILHANTE/FOSCO LAHHF;9;450;HHF 9
343;ALUMINIO-FOLHA BOB-3003H24 ESP0,046 LARG618 DI152 DEMÁX700 BRI/BRI FOODCONTAINER 40-55;46;618;FOODCONTAINER 40-55
344;ALUMINIO-FOLHA BOB-3003H24 ESP0,046 LARG780 DI152 DEMÁX700 BRI/BRI FOODCONTAINER 40-55;46;780;FOODCONTAINER 40-55
345;ALUMINIO-FOLHA  BOB- 3003 H24 ESP0,030 LARG240 DI76,2 DEMÁX450 BRI/BRI FOODCONTAINER 30;30;240;FOODCONTAINER 30
346;ALUMINIO-FOLHA  BOB- 3003 H24 ESP0,030 LARG260 DI76,2 DEMÁX450 BRI/BRI FOODCONTAINER 30;30;260;FOODCONTAINER 30
347;FOLHA ALUM BOB 8011 O SGALSOPLN ESP0,015 LARG350 DI152 DEMÁX540 ACABBRILHANTE/FOSCO LACVT;15;350;CONVERTER 15
348;FOLHA ALUM BOB 1235 O SGALSOPLN ESP0,008 LARG590 DI152 DEMÁX540 ACABBRILHANTE/FOSCO LACVT;8;590;INATIVOS CONVERTER 8
349;FOLHA ALUM BOB 1235 O SGALSOPLN ESP0,008 LARG750 DI152 DEMÁX450 ACABBRILHANTE/FOSCO LACVT;8;750;INATIVOS CONVERTER 8
350;FOLHA ALUM BOB 8011 O SGALSOPLN ESP0,008 LARG600 DI152 DEMÁX540 ACABBRILHANTE/FOSCO LACVT;8;600;INATIVOS CONVERTER 8
351;ALUMINIO-FOLHA  BOB- 3003 H24 ESP0,028 LARG240 DI76,2 DEMÁX450 BRI/BRI FOODCONTAINER 28;28;240;FOODCONTAINER 28
352;ALUMINIO-FOLHA  BOB- 3003 H24 ESP0,028 LARG260 DI76,2 DEMÁX450 BRI/BRI FOODCONTAINER 28;28;260;FOODCONTAINER 28
353;ALUMINIO-FOLHA  BOB- 3003 H24 ESP0,030 LARG525 DI76,2 DEMÁX450 BRI/BRI FOODCONTAINER 30;30;525;FOODCONTAINER 30
354;ALUMINIO-FOLHA BOB-3003H24 ESP0,050 LARG618 DI76,2 DEMÁX450 BRI/BRI FOODCONTAINER 40-55;50;618;FOODCONTAINER 40-55
355;ALUMINIO-FOLHA BOB-3003H24 ESP0,050 LARG780 DI76,2 DEMÁX450 BRI/BRI FOODCONTAINER 40-55;50;780;FOODCONTAINER 40-55
356;ALUMINIO-FOLHA  BOB- 3003 H24 ESP0,030 LARG835 DI76,2 DEMÁX450 BRI/BRI FOODCONTAINER 30;30;835;FOODCONTAINER 30
357;ALUMINIO-FOLHA  BOB- 3003 H24 ESP0,030 LARG889 DI76,2 DEMÁX450 BRI/BRI FOODCONTAINER 30;30;889;FOODCONTAINER 30
358;ALUMINIO-FOLHA BOB-3003H24 ESP0,044 LARG815 DI76,2 DEMÁX450 BRI/BRI FOODCONTAINER 40-55;44;815;FOODCONTAINER 40-55
359;ALUMINIO-FOLHA BOB-3003H24 ESP0,044 LARG220 DI76,2 DEMÁX450 BRI/BRI FOODCONTAINER 40-55;44;220;FOODCONTAINER 40-55
360;ALUMINIO-FOLHA BOB-3003H24 ESP0,044 LARG618 DI76,2 DEMÁX450 BRI/BRI FOODCONTAINER 40-55;44;618;FOODCONTAINER 40-55
361;ALUMINIO-FOLHA BOB-3003H24 ESP0,045 LARG220 DI76,2 DEMÁX450 BRI/BRI FOODCONTAINER 40-55;45;220;FOODCONTAINER 40-55
362;ALUMINIO-FOLHA BOB-3003H24 ESP0,045 LARG618 DI76,2 DEMÁX450 BRI/BRI FOODCONTAINER 40-55;45;618;FOODCONTAINER 40-55
363;FOLHA ALUM BOB 8011 O SGALSOPLN ESP0,008 LARG600 DI152 DEMÁX600 ACABBRILHANTE/FOSCO LACVT;8;600;INATIVOS CONVERTER 8
364;ALUMINIO-FOLHA  BOB- 3003 H24 ESP0,030 LARG280 DI76,2 DEMÁX450 BRI/BRI FOODCONTAINER 30;30;280;FOODCONTAINER 30
365;ALUMINIO-FOLHA BOB-3003H24 ESP0,054 LARG364 DI152 DEMÁX700 BRI/BRI FOODCONTAINER 40-55;54;364;FOODCONTAINER 40-55
366;ALUMINIO-FOLHA  BOB- 8006 H24 ESP0,030 LARG889 DI152 DEMÁX700 BRI/BRI FOODCONTAINER 30;30;889;FOODCONTAINER 30
367;FOLHA ALUM BOB 8079 O SGALSOPLN ESP0,037 LARG520 DI152 DEMÁX600 ACABBRILHANTE/FOSCO LACVT;37;520;CONVERTER 30-40
368;ALUMINIO-FOLHA  BOB- 3003 H24 ESP0,030 LARG905 DI152 DEMÁX700 BRI/BRI FOODCONTAINER 30;30;905;FOODCONTAINER 30
369;FOLHA ALUM BOB 8079 O SGALSOPLN ESP0,008 LARG500 DI152 DEMÁX540 ACABBRILHANTE/FOSCO LACVT;8;500;INATIVOS CONVERTER 8
370;ALUMINIO-FOLHA  BOB- 3003 H24 ESP0,028 LARG300 DI76,2 DEMÁX450 BRI/BRI FOODCONTAINER 28;28;300;FOODCONTAINER 28
371;ALUMINIO-FOLHA BOB-3003O ESP0,080 LARG514 DI152,4 DEMÁX700 BRI/BRI FOODCONTAINER 80-140;80;514;FOODCONTAINER 80-140
372;ALUMINIO-FOLHA BOB-3003O ESP0,100 LARG605 DI152,4 DEMÁX700 BRI/BRI FOODCONTAINER 80-140;100;605;FOODCONTAINER 80-140
373;FOLHA ALUM BOB 8011 H18 SGALSOPLN ESP0,025 LARG140 DI152 DEMÁX540 ACABBRILHANTE/FOSCO LACVT;25;140;INATIVOS CONVERTER25
374;ALUMINIO-FOLHA  BOB- 3003 H24 ESP0,030 LARG169 DI152 DEMÁX700 BRI/BRI FOODCONTAINER 30;30;169;FOODCONTAINER 30
375;ALUMINIO-FOLHA  BOB- 3003 H24 ESP0,030 LARG210 DI76,2 DEMÁX450 BRI/BRI FOODCONTAINER 30;30;210;FOODCONTAINER 30
376;ALUMINIO-FOLHA  BOB- 3003 H24 ESP0,030 LARG576 DI152 DEMÁX700 BRI/BRI FOODCONTAINER 30;30;576;FOODCONTAINER 30
377;ALUMINIO-FOLHA BOB-3003O ESP0,140 LARG665 DI152,4 DEMÁX700 BRI/BRI FOODCONTAINER 80-140;140;665;FOODCONTAINER 80-140
378;CHAPA ALUM FOR 5083 O CFPPLNCHLS ESP11 LARG1650 COMP3000 - FOSCO/FOSCO LATRP;11000;1650;TRANSPORTATION >0,2
379;FOLHA ALUM BOB 8011 H18 SGALSOPLN ESP0,025 LARG150 DI152 DEMÁX540 ACABBRILHANTE/FOSCO LACVT;25;150;INATIVOS CONVERTER25
380;ALUMINIO-FOLHA  BOB- 3003 H24 ESP0,030 LARG300 DI152 DEMÁX700 BRI/BRI FOODCONTAINER 30;30;300;FOODCONTAINER 30
381;FOLHA ALUM BOB 8011 H18 SGALSOPLN ESP0,025 LARG210 DI152,4 DEMÁX540 ACABBRILHANTE/FOSCO LACVT;;;CONVERTER 20-25
382;ALUMINIO-FOLHA  BOB- 3003 H24 ESP0,028 LARG683 DI152 DEMÁX700 BRI/BRI FOODCONTAINER 28;28;683;FOODCONTAINER 28
383;CHAPA ALUM FOR 3003 H114 SGALAVDMD ESP2,2 LARG1250 COMP3000 - BRILHANTE/FOSCO LATRP;;;TRANSPORTATION >0,2
384;FOLHA ALUM BOB 8011 O SGALSOPLN ESP0,030 LARG480 DI152 DEMÁX450 ACABBRILHANTE/FOSCO LACVT;30;480;CONVERTER 30-40
385;CHAPA ALUM FOR 3003 H14 SGACHLSFF ESP2,0 LARG1500 COMP3000 - ACABLISO LATRP;;;TRT CHLSFF SGA 3003
386;CHAPA ALUM FOR 3003 H14 SGACHLSFF ESP3,0 LARG1500 COMP3000 - ACABLISO LATRP;3000;1500;TRT CHLSFF SGA 3003
387;CHAPA ALUM FOR 3003 H14 SGACHLSFF ESP4,0 LARG1500 COMP3000 - ACABLISO LATRP;;;TRT CHLSFF SGA 3003
388;ALUMINIO-FOLHA BOB 8011 H18 ESP0,020 LARG580 DI152 DEMÁX540 BRI/FOS LIDROUNDPLATES 20;20;580;LIDROUNDPLATES 20
389;ALUMINIO-FOLHA  BOB- 3003 H24 ESP0,030 LARG410 DI176,2 DEMÁX450 BRI/BRI FOODCONTAINER 30;30;410;FOODCONTAINER 30
390;ALUMINIO-FOLHA  BOB- 3003 H24 ESP0,030 LARG490 DI76,2 DEMÁX450 BRI/BRI FOODCONTAINER 30;30;490;FOODCONTAINER 30
391;ALUMINIO-FOLHA  BOB- 3003 H24 ESP0,030 LARG520 DI76,2 DEMÁX450 BRI/BRI FOODCONTAINER 30;30;520;FOODCONTAINER 30
392;FOLHA ALUM BOB 8011 O SGALSOTXT ESP0,036 LARG364 DI152 DEMÁX450 ACABBRILHANTE/FOSCO LACVT;36;364;CONVERTER 30-40
393;FOLHA ALUM BOB 8011 H18 SGALSOPLN ESP0,015 LARG300 DI152 DEMÁX540 ACABBRILHANTE/FOSCO LACVT;;;CONVERTER 15
394;FOLHA ALUM BOB 8011 H18 SGALSOPLN ESP0,015 LARG350 DI152 DEMÁX540 ACABBRILHANTE/FOSCO LACVT;;;CONVERTER 15
395;ALUMINIO-FOLHA  BOB- 3003 H24 ESP0,030 LARG200 DI76,2 DEMÁX450 BRI/BRI FOODCONTAINER 30;30;200;FOODCONTAINER 30
396;FOLHA ALUM BOB 8079 O ESP0,007 LARG795 DI152,4 DEMÁX550 SEM SUPORTE SIMPLESMENTE LAMINADA SEM CLAD;;;CONVERTER 7
397;FOLHA ALUM BOB 8079 O ESP0,007 LARG550 DI152,4 DEMÁX550 SEM SUPORTE SIMPLESMENTE LAMINADA SEM CLAD;;;CONVERTER 7
398;FOLHA ALUM BOB 8011 O ESP0,009 LARG300 DI76,2 DEMÁX450 BRILHANTE/FOSCO S/SUP SIMP LAMIN S/CLAD;9;300;HHF 9
399;FOLHA ALUM BOB 8011 O ESP0,009 LARG450 DI76,2 DEMÁX450 BRILHANTE/FOSCO S/SUP SIMP LAMIN S/CLAD;9;450;HHF 9
400;FOLHA ALUM BOB 8006 O ESP0,009 LARG300 DI76,2 DEMÁX450 SEM SUPORTE SIMPLESMENTE LAMINADA SEM CLAD;;;HHF 9
401;FOLHA ALUM BOB 8006 O ESP0,009 LARG450 DI76,2 DEMÁX450 SEM SUPORTE SIMPLESMENTE LAMINADA SEM CLAD;;;HHF 9
402;FOLHA ALUM BOB 8079 O ESP0,008 LARG410 DI152,4 DEMÁX550 SEM SUPORTE SIMPLESMENTE LAMINADA SEM CLAD;;;CONVERTER 8
403;FOLHA ALUM BOB 1235 O ESP0,008 LARG410 DI152,4 DEMÁX550 SEM SUPORTE SIMPLESMENTE LAMINADA SEM CLAD;;;CONVERTER 8
404;FOLHA ALUM BOB 8079 O ESP0,008 LARG420 DI152,4 DEMÁX550 SEM SUPORTE SIMPLESMENTE LAMINADA SEM CLAD;;;CONVERTER 8
405;FOLHA ALUM BOB 1235 O ESP0,008 LARG420 DI152,4 DEMÁX550 SEM SUPORTE SIMPLESMENTE LAMINADA SEM CLAD;;;CONVERTER 8
406;ALUMINIO-FOLHA BOB- 8079 O ESP0,008 LARG450 DI152,4 DEMÁX550 BRI/FOS CONVERTER 8;8;450;CONVERTER 8
407;FOLHA ALUM BOB 1235 O ESP0,008 LARG450 DI152,4 DEMÁX550 SEM SUPORTE SIMPLESMENTE LAMINADA SEM CLAD;;;CONVERTER 8
408;FOLHA ALUM BOB 8079 O ESP0,008 LARG480 DI152,4 DEMÁX550 SEM SUPORTE SIMPLESMENTE LAMINADA SEM CLAD;8;480;CONVERTER 8
409;FOLHA ALUM BOB 1235 O ESP0,008 LARG480 DI152,4 DEMÁX550 SEM SUPORTE SIMPLESMENTE LAMINADA SEM CLAD;;;CONVERTER 8
410;FOLHA ALUM BOB 8079 O ESP0,008 LARG490 DI152,4 DEMÁX550 SEM SUPORTE SIMPLESMENTE LAMINADA SEM CLAD;;;CONVERTER 8
411;FOLHA ALUM BOB 1235 O ESP0,008 LARG490 DI152,4 DEMÁX550 SEM SUPORTE SIMPLESMENTE LAMINADA SEM CLAD;;;CONVERTER 8
412;FOLHA ALUM BOB 8079 O ESP0,008 LARG500 DI152,4 DEMÁX550 SEM SUPORTE SIMPLESMENTE LAMINADA SEM CLAD;8;500;CONVERTER 8
413;FOLHA ALUM BOB 1235 O ESP0,008 LARG500 DI152,4 DEMÁX550 SEM SUPORTE SIMPLESMENTE LAMINADA SEM CLAD;;;CONVERTER 8
414;FOLHA ALUM BOB 8079 O ESP0,008 LARG520 DI152,4 DEMÁX550 SEM SUPORTE SIMPLESMENTE LAMINADA SEM CLAD;8;520;CONVERTER 8
415;FOLHA ALUM BOB 1235 O ESP0,008 LARG520 DI152,4 DEMÁX550 SEM SUPORTE SIMPLESMENTE LAMINADA SEM CLAD;;;CONVERTER 8
416;FOLHA ALUM BOB 8079 O ESP0,008 LARG530 DI152,4 DEMÁX550 SEM SUPORTE SIMPLESMENTE LAMINADA SEM CLAD;;;CONVERTER 8
417;FOLHA ALUM BOB 1235 O ESP0,008 LARG530 DI152,4 DEMÁX550 SEM SUPORTE SIMPLESMENTE LAMINADA SEM CLAD;;;CONVERTER 8
418;FOLHA ALUM BOB 8079 O ESP0,008 LARG540 DI152,4 DEMÁX550 SEM SUPORTE SIMPLESMENTE LAMINADA SEM CLAD;;;CONVERTER 8
419;FOLHA ALUM BOB 1235 O ESP0,008 LARG540 DI152,4 DEMÁX550 SEM SUPORTE SIMPLESMENTE LAMINADA SEM CLAD;;;CONVERTER 8
420;FOLHA ALUM BOB 8079 O ESP0,008 LARG550 DI152,4 DEMÁX550 SEM SUPORTE SIMPLESMENTE LAMINADA SEM CLAD;8;550;CONVERTER 8
421;FOLHA ALUM BOB 1235 O ESP0,008 LARG550 DI152,4 DEMÁX550 SEM SUPORTE SIMPLESMENTE LAMINADA SEM CLAD;;;CONVERTER 8
422;FOLHA ALUM BOB 8079 O ESP0,008 LARG555 DI152,4 DEMÁX550 SEM SUPORTE SIMPLESMENTE LAMINADA SEM CLAD;;;CONVERTER 8
423;FOLHA ALUM BOB 1235 O ESP0,008 LARG555 DI152,4 DEMÁX550 SEM SUPORTE SIMPLESMENTE LAMINADA SEM CLAD;;;CONVERTER 8
424;ALUMINIO-FOLHA BOB- 8079 O ESP0,008  LARG560 DI152,4 DEMÁX550  BRI/FOS CONVERTER 8;8;560;CONVERTER 8
425;FOLHA ALUM BOB 1235 O ESP0,008 LARG560 DI152,4 DEMÁX550 SEM SUPORTE SIMPLESMENTE LAMINADA SEM CLAD;;;CONVERTER 8
426;FOLHA ALUM BOB 8079 O ESP0,008 LARG570 DI152,4 DEMÁX550 SEM SUPORTE SIMPLESMENTE LAMINADA SEM CLAD;8;570;CONVERTER 8
427;FOLHA ALUM BOB 1235 O ESP0,008 LARG570 DI152,4 DEMÁX550 SEM SUPORTE SIMPLESMENTE LAMINADA SEM CLAD;;;CONVERTER 8
428;FOLHA ALUM BOB 8079 O ESP0,008 LARG580 DI152,4 DEMÁX550 SEM SUPORTE SIMPLESMENTE LAMINADA SEM CLAD;8;580;CONVERTER 8
429;FOLHA ALUM BOB 1235 O ESP0,008 LARG580 DI152,4 DEMÁX550 SEM SUPORTE SIMPLESMENTE LAMINADA SEM CLAD;;;CONVERTER 8
430;FOLHA ALUM BOB 8079 O ESP0,008 LARG590 DI152,4 DEMÁX550 SEM SUPORTE SIMPLESMENTE LAMINADA SEM CLAD;;;CONVERTER 8
431;FOLHA ALUM BOB 1235 O ESP0,008 LARG590 DI152,4 DEMÁX550 SEM SUPORTE SIMPLESMENTE LAMINADA SEM CLAD;8;590;CONVERTER 8
432;ALUMINIO-FOLHA BOB- 8079 O ESP0,008 LARG600 DI152,4 DEMÁX550 BRI/FOS CONVERTER 8;8;600;CONVERTER 8
433;FOLHA ALUM BOB 1235 O ESP0,008 LARG600 DI152,4 DEMÁX550 SEM SUPORTE SIMPLESMENTE LAMINADA SEM CLAD;;;CONVERTER 8
434;FOLHA ALUM BOB 8079 O ESP0,008 LARG620 DI152,4 DEMÁX550 SEM SUPORTE SIMPLESMENTE LAMINADA SEM CLAD;8;620;CONVERTER 8
435;FOLHA ALUM BOB 1235 O ESP0,008 LARG620 DI152,4 DEMÁX550 SEM SUPORTE SIMPLESMENTE LAMINADA SEM CLAD;;;CONVERTER 8
436;FOLHA ALUM BOB 8079 O ESP0,008 LARG630 DI152,4 DEMÁX550 SEM SUPORTE SIMPLESMENTE LAMINADA SEM CLAD;;;CONVERTER 8
437;FOLHA ALUM BOB 1235 O ESP0,008 LARG630 DI152,4 DEMÁX550 SEM SUPORTE SIMPLESMENTE LAMINADA SEM CLAD;8;630;CONVERTER 8
438;FOLHA ALUM BOB 8079 O ESP0,008 LARG640 DI152,4 DEMÁX550 SEM SUPORTE SIMPLESMENTE LAMINADA SEM CLAD;;;CONVERTER 8
439;FOLHA ALUM BOB 1235 O ESP0,008 LARG640 DI152,4 DEMÁX550 SEM SUPORTE SIMPLESMENTE LAMINADA SEM CLAD;;;CONVERTER 8
440;FOLHA ALUM BOB 8079 O ESP0,008 LARG650 DI152,4 DEMÁX550 SEM SUPORTE SIMPLESMENTE LAMINADA SEM CLAD;8;650;CONVERTER 8
441;FOLHA ALUM BOB 1235 O ESP0,008 LARG650 DI152,4 DEMÁX550 SEM SUPORTE SIMPLESMENTE LAMINADA SEM CLAD;;;CONVERTER 8
442;FOLHA ALUM BOB 8079 O ESP0,008 LARG660 DI152,4 DEMÁX550 SEM SUPORTE SIMPLESMENTE LAMINADA SEM CLAD;8;660;CONVERTER 8
443;FOLHA ALUM BOB 1235 O ESP0,008 LARG660 DI152,4 DEMÁX550 SEM SUPORTE SIMPLESMENTE LAMINADA SEM CLAD;;;CONVERTER 8
444;FOLHA ALUM BOB 8079 O ESP0,008 LARG680 DI152,4 DEMÁX550 SEM SUPORTE SIMPLESMENTE LAMINADA SEM CLAD;8;680;CONVERTER 8
445;FOLHA ALUM BOB 1235 O ESP0,008 LARG680 DI152,4 DEMÁX550 SEM SUPORTE SIMPLESMENTE LAMINADA SEM CLAD;;;CONVERTER 8
446;FOLHA ALUM BOB 8079 O ESP0,008 LARG700 DI152,4 DEMÁX550 SEM SUPORTE SIMPLESMENTE LAMINADA SEM CLAD;8;700;CONVERTER 8
447;FOLHA ALUM BOB 1235 O ESP0,008 LARG700 DI152,4 DEMÁX550 SEM SUPORTE SIMPLESMENTE LAMINADA SEM CLAD;;;CONVERTER 8
448;FOLHA ALUM BOB 8079 O ESP0,008 LARG720 DI152,4 DEMÁX550 SEM SUPORTE SIMPLESMENTE LAMINADA SEM CLAD;8;720;CONVERTER 8
449;FOLHA ALUM BOB 1235 O ESP0,008 LARG720 DI152,4 DEMÁX550 SEM SUPORTE SIMPLESMENTE LAMINADA SEM CLAD;;;CONVERTER 8
450;FOLHA ALUM BOB 8079 O ESP0,008 LARG740 DI152,4 DEMÁX550 SEM SUPORTE SIMPLESMENTE LAMINADA SEM CLAD;8;740;CONVERTER 8
451;FOLHA ALUM BOB 1235 O ESP0,008 LARG740 DI152,4 DEMÁX550 SEM SUPORTE SIMPLESMENTE LAMINADA SEM CLAD;;;CONVERTER 8
452;FOLHA ALUM BOB 8079 O ESP0,008 LARG750 DI152,4 DEMÁX550 SEM SUPORTE SIMPLESMENTE LAMINADA SEM CLAD;8;750;CONVERTER 8
453;FOLHA ALUM BOB 1235 O ESP0,008 LARG750 DI152,4 DEMÁX550 SEM SUPORTE SIMPLESMENTE LAMINADA SEM CLAD;;;CONVERTER 8
454;FOLHA ALUM BOB 8079 O ESP0,008 LARG760 DI152,4 DEMÁX550 SEM SUPORTE SIMPLESMENTE LAMINADA SEM CLAD;;;CONVERTER 8
455;FOLHA ALUM BOB 1235 O ESP0,008 LARG760 DI152,4 DEMÁX550 SEM SUPORTE SIMPLESMENTE LAMINADA SEM CLAD;;;CONVERTER 8
456;FOLHA ALUM BOB 8079 O ESP0,008 LARG800 DI152,4 DEMÁX550 SEM SUPORTE SIMPLESMENTE LAMINADA SEM CLAD;;;CONVERTER 8
457;FOLHA ALUM BOB 1235 O ESP0,008 LARG800 DI152,4 DEMÁX550 SEM SUPORTE SIMPLESMENTE LAMINADA SEM CLAD;;;CONVERTER 8
458;FOLHA ALUM BOB 8079 O ESP0,008 LARG820 DI152,4 DEMÁX550 SEM SUPORTE SIMPLESMENTE LAMINADA SEM CLAD;8;820;CONVERTER 8
459;FOLHA ALUM BOB 1235 O ESP0,008 LARG820 DI152,4 DEMÁX550 SEM SUPORTE SIMPLESMENTE LAMINADA SEM CLAD;;;CONVERTER 8
460;FOLHA ALUM BOB 8079 O ESP0,008 LARG830 DI152,4 DEMÁX550 SEM SUPORTE SIMPLESMENTE LAMINADA SEM CLAD;8;830;CONVERTER 8
461;FOLHA ALUM BOB 1235 O ESP0,008 LARG830 DI152,4 DEMÁX550 SEM SUPORTE SIMPLESMENTE LAMINADA SEM CLAD;;;CONVERTER 8
462;FOLHA ALUM BOB 8079 O ESP0,008 LARG840 DI152,4 DEMÁX550 SEM SUPORTE SIMPLESMENTE LAMINADA SEM CLAD;8;840;CONVERTER 8
463;FOLHA ALUM BOB 1235 O ESP0,008 LARG840 DI152,4 DEMÁX550 SEM SUPORTE SIMPLESMENTE LAMINADA SEM CLAD;;;CONVERTER 8
