Cód. Item;Estoque
567;495
567;526
567;518
567;517
576;292
576;293
582;278
584;312
584;312
584;312
584;312
584;348
584;342
584;346
584;346
584;344
598;259,9
598;253,1
598;286,3
598;289,1
598;292,9
598;290,1
598;278,9
598;282,1
598;273,1
598;278,3
598;257,1
598;255,5
598;273,1
598;276,7
598;277,3
635;592
635;580
635;574
635;632
635;601
655;540
655;535
655;533
655;602
655;601
655;602
655;542
655;600
655;499
655;524
655;523
655;679
655;798
655;804
655;530
655;534
655;805
655;798
655;696
655;462
655;1.076
655;702
655;693
655;763
655;540
655;541
655;539
656;819
656;818
656;618
656;550
656;540
656;551
656;544
656;544
656;541
658;369
658;322
658;498
658;391
658;313
658;358
658;347
658;438
658;455
658;460
658;443
658;326
658;356
658;326
658;327
658;327
658;279
658;406
658;407
658;439
658;350
658;278
659;370
659;409
659;372
659;416
659;414
679;7
679;7
679;7
679;7
679;7
679;7
679;7
679;7
679;7
679;7
679;7
679;7
679;7
679;7
679;7
679;7
679;7
679;7
679;7
679;7
679;7
679;7
679;7
679;7
679;7
679;7
679;7
679;7
679;7
679;7
679;7
679;7
679;7
679;7
679;7
679;7
679;7
679;7
679;7
679;7
679;7
679;7
679;18
691;24,46
691;5
691;5
691;5
691;5
692;4,88
692;4,88
693;5
693;5
693;5
693;5
693;5
693;5
693;5
693;5
693;5
693;5
693;5
693;5
693;5
693;5
693;5
693;5
693;5
693;5
693;5
693;5
693;5
693;5
693;5
693;5
693;5
693;5
693;5
693;5
693;5
693;5
693;5
693;5
693;5
693;5
693;5
693;5
693;5
693;5
693;5
693;5
693;5
693;5
693;5
693;5
693;5
693;5
693;5
693;5
693;5
693;5
693;5
693;5
693;5
693;5
693;5
693;5
693;5
693;5
693;5
693;5
693;5
693;5
693;5
693;5
693;5
693;5
693;5
693;5
693;5
693;5
693;5
693;5
693;5
693;5
693;5
693;5
693;5
693;5
693;5
693;5
693;5
693;5
693;5
693;5
693;5
693;5
693;5
693;5
693;5
693;5
693;5
693;5
693;5
693;5
693;5
693;5
693;5
693;5
693;5
693;5
693;5
693;5
693;5
693;5
693;5
693;5
693;5
693;5
693;5
693;5
693;5
693;5
693;5
693;5
693;5
693;5
693;5
693;5
693;5
693;5
693;5
693;5
693;5
693;5
693;5
693;5
693;5
693;5
693;5
693;5
693;5
693;5
693;5
693;5
693;5
693;5
693;5
693;5
693;5
693;5
693;5
693;5
693;5
693;5
693;5
693;5
693;5
693;5
693;5
693;5
693;5
693;5
693;5
693;5
693;5
693;5
693;5
693;5
693;5
693;5
693;5
693;5
693;5
693;5
693;5
693;5
693;5
693;5
693;5
693;5
693;5
693;5
693;5
693;5
693;5
693;5
693;5
693;5
693;5
693;5
693;5
693;5
693;5
693;5
693;5
693;5
693;5
693;5
693;5
693;5
